store_name,no_of_units_available,longitude,latitude
Aberdeen,50,-2.0954,57.14748
Adur,40,-0.32035,50.830952
Allerdale,30,-3.21054,54.769081
Amber Valley,20,-1.46219,53.028839
Arun,10,-0.62832,50.810719
Ashfield,50,-1.25422,53.097469
Ashford,40,0.823374,51.130959
Bedford,2,-0.45463,52.196281
Belfast,0,-5.92535,54.59853
Bexley,5,0.146212,51.45821
Birmingham,4,-1.88141,52.484039
Bolton,20,-2.47952,53.584492
Boston,10,-0.11218,52.97794
Bournemouth Christchurch and Poole,50,-1.84807,50.74609
Bracknell Forest,40,-0.73363,51.411301
Bradford,30,-1.87389,53.843819
Brentwood,40,0.290091,51.641079
Bridgend,30,-3.61359,51.560581
Brighton and Hove,20,-0.15734,50.841969
Broadland,10,1.221266,52.698719
Bromley,50,0.039246,51.372669
Bromsgrove,40,-2.00376,52.361691
Broxbourne,30,-0.05073,51.720798
Broxtowe,20,-1.25944,52.972099
Buckinghamshire,10,-0.80569,51.76966
Burnley,5,-2.2308,53.774059
Bury,4,-2.3088,53.593102
Caerphilly,2,-3.19753,51.650009
Calderdale,0,-1.96182,53.720482
Cambridge,5,0.126436,52.200169
Cambridgeshire,4,0.126436,52.20017
Camden,2,-0.16289,51.54306
Cannock Chase,1,-1.98277,52.70166
Canterbury,50,1.096257,51.281029
Cardiff,40,-3.22212,51.502541
Carlisle,30,-2.80706,54.97868
Carmarthenshire,20,-4.32468,51.892761
Castle Point,10,0.588084,51.5616
Causeway Coast and Glens,50,-6.5996,55.039619
Central Bedfordshire,40,-0.47754,51.999031
Ceredigion,30,-3.94994,52.297951
Charnwood,20,-1.13694,52.739899
Chelmsford,10,0.491163,51.735031
Cheltenham,50,-2.07515,51.898609
Cherwell,40,-1.28506,51.887199
Cheshire East,30,-2.29299,53.167931
Cheshire West and Chester,20,-2.70298,53.163361
Chesterfield,10,-1.40115,53.255749
Chichester,50,-0.80768,50.801922
Chiltern,40,-0.62112,51.678902
Chorley,30,-2.61921,53.672401
City of Dundee,30,-2.97095,56.4776
City of Edinburgh,20,-3.27826,55.91119
City of Glasgow,10,-4.21479,55.876492
City of Kingston upon Hull,50,-0.3038,53.769791
Clackmannanshire,30,-3.75344,56.14724
Colchester,20,0.859776,51.87701
Conwy,10,-3.733,53.1922
Copeland,50,-3.51567,54.5103
Corby,40,-0.7069,52.506969
Cornwall,30,-4.64249,50.45023
Cotswold,20,-1.97059,51.772549
County Durham,10,-1.8405,54.685131
Coventry,50,-1.51908,52.41423
Craven,40,-2.28223,54.009701
Crawley,30,-0.19533,51.123569
Croydon,20,-0.07761,51.365978
Cumbria,10,-2.74387,54.328506
